"","subj","native_lang","age","gender","trial_type","r1","r2","r3","r4","r5","r6"
"1","A1LOUZD99NZCT2","english",29,"male","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1504')","","","",""
"2","A1LOUZD99NZCT2","english",29,"male","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'yes')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '11924')",""
"3","A1LOUZD99NZCT2","english",29,"male","train","('train_f_A_chosen', 'yes')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '7041')",""
"4","A1LOUZD99NZCT2","english",29,"male","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2125')","","","",""
"5","A1LOUZD99NZCT2","english",29,"male","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurants A and B.""%2CInspector 2 says%2C ""Restaurant E.""%2CInspector 3 says%2C ""Restaurants A%2C B%2C C%2C D%2C and E.""')","('inspector_A_chosen', 'no')","('inspector_B_chosen', 'yes')","('inspector_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3397')"
"6","A1LOUZD99NZCT2","english",29,"male","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stall C.""%2CBrother 2 says%2C ""Stalls C and D.""%2CBrother 3 says%2C ""Stalls A and B.""')","('brother_A_chosen', 'yes')","('brother_B_chosen', 'no')","('brother_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1717')"
"8","A1LOUZD99NZCT2","english",29,"male","control","('why_A_chosen', 'no')","('why_B_chosen', 'yes')","('why_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '1855')",""
"9","A1LOUZD99NZCT2","english",29,"male","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Place D.""%2CInvestigator 2 says%2C ""Places F and A.""%2CInvestigator 3 says%2C ""Place E.""')","('fbi_investigator_A_chosen', 'no')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1945')"
"10","A1LOUZD99NZCT2","english",29,"male","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studios F%2C E%2C D%2C C and B.""%2CCoworker 2 says%2C ""Studios C and B.""%2CCoworker 3 says%2C ""Studio F.""')","('yoga_coworker_A_chosen', 'yes')","('yoga_coworker_B_chosen', 'no')","('yoga_coworker_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1945')"
"12","A1LOUZD99NZCT2","english",29,"male","control","('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2823')",""
"13","A1LOUZD99NZCT2","english",29,"male","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fourth and sixth floors.""%2CFirefighter 2 says%2C ""The fifth and second floors.""%2CFirefighter 3 says%2C ""The fifth%2C second%2C fourth%2C third and sixth floors.""')","('firefighter_A_chosen', 'no')","('firefighter_B_chosen', 'no')","('firefighter_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2238')"
"14","A1LOUZD99NZCT2","english",29,"male","low","('answers_reported', 'placeholderCousin 1 says%2C ""Locations A and D.""%2CCousin 2 says%2C ""Location A.""%2CCousin 3 says%2C ""Location F.""')","('pic_cousin_A_chosen', 'yes')","('pic_cousin_B_chosen', 'yes')","('pic_cousin_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3260')"
"15","A1LOUZD99NZCT2","english",29,"male","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Store F.""%2CAdvisor 2 says%2C ""Stores A and F.""%2CAdvisor 3 says%2C ""Store E.""')","('terrorism_advisor_A_chosen', 'no')","('terrorism_advisor_B_chosen', 'no')","('terrorism_advisor_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2193')"
"17","A1LOUZD99NZCT2","english",29,"male","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '1404')",""
"18","A1LOUZD99NZCT2","english",29,"male","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafes E%2C B%2C F%2C C and D.""%2CClassmate 2 says%2C ""Cafe E.""%2CClassmate 3 says%2C ""Cafes F and D.""')","('coffee_classmate_A_chosen', 'yes')","('coffee_classmate_B_chosen', 'no')","('coffee_classmate_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3982')"
"19","A1LOUZD99NZCT2","english",29,"male","high","('answers_reported', 'placeholderOperative 1 says%2C ""The Northeast district.""%2COperative 2 says%2C ""The Northeast and Southwest districts.""%2COperative 3 says%2C ""The South and North districts.""')","('operative_A_chosen', 'no')","('operative_B_chosen', 'yes')","('operative_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2136')"
"20","A1LOUZD99NZCT2","english",29,"male","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diner C.""%2CFriend 2 says%2C ""Diners A and E.""%2CFriend 3 says%2C ""Diner E.""')","('la_friend_A_chosen', 'no')","('la_friend_B_chosen', 'no')","('la_friend_C_chosen', 'no')","('no_one_chosen', 'yes')","('_REACTION_TIME_', '3598')"
"22","A1LOUZD99NZCT2","english",29,"male","control","('what_A_chosen', 'no')","('what_B_chosen', 'yes')","('what_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '1934')",""
"23","A1LOUZD99NZCT2","english",29,"male","exit_quest","('know_conditons', 'the cabinet')","('know_conditons', 'the coffee shop')","('difficult', 'no')","('anything_else', 'no')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '42897')"
"24","A2YVC1U50H2B4R","English",29,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1125')","","","",""
"25","A2YVC1U50H2B4R","English",29,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '14596')",""
"26","A2YVC1U50H2B4R","English",29,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '7497')",""
"27","A2YVC1U50H2B4R","English",29,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1407')","","","",""
"28","A2YVC1U50H2B4R","English",29,"female","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diners C and F.""%2CFriend 2 says%2C ""Diners A and E.""%2CFriend 3 says%2C ""Diner C.""')","('la_friend_A_chosen', 'yes')","('la_friend_B_chosen', 'no')","('la_friend_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '23638')"
"29","A2YVC1U50H2B4R","English",29,"female","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurant E.""%2CInspector 2 says%2C ""Restaurants A%2C B%2C C%2C D%2C and E.""%2CInspector 3 says%2C ""Restaurants C and E.""')","('inspector_A_chosen', 'no')","('inspector_B_chosen', 'no')","('inspector_C_chosen', 'no')","('no_one_chosen', 'yes')","('_REACTION_TIME_', '29257')"
"31","A2YVC1U50H2B4R","English",29,"female","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studios C and B.""%2CCoworker 2 says%2C ""Studios F and E.""%2CCoworker 3 says%2C ""Studios F%2C E%2C D%2C C and B.""')","('yoga_coworker_A_chosen', 'no')","('yoga_coworker_B_chosen', 'yes')","('yoga_coworker_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '6987')"
"32","A2YVC1U50H2B4R","English",29,"female","control","('why_A_chosen', 'yes')","('why_B_chosen', 'no')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '19369')",""
"33","A2YVC1U50H2B4R","English",29,"female","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fifth floor.""%2CFirefighter 2 says%2C ""The fourth and sixth floors.""%2CFirefighter 3 says%2C ""The fifth and second floors.""')","('firefighter_A_chosen', 'yes')","('firefighter_B_chosen', 'no')","('firefighter_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '19820')"
"35","A2YVC1U50H2B4R","English",29,"female","low","('answers_reported', 'placeholderCousin 1 says%2C ""Location F.""%2CCousin 2 says%2C ""Locations A%2C D%2C E%2C and F.""%2CCousin 3 says%2C ""Location A.""')","('pic_cousin_A_chosen', 'no')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '8408')"
"36","A2YVC1U50H2B4R","English",29,"female","control","('when_A_chosen', 'no')","('when_B_chosen', 'no')","('when_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '11051')",""
"37","A2YVC1U50H2B4R","English",29,"female","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Stores E and B.""%2CAdvisor 2 says%2C ""Stores A and F.""%2CAdvisor 3 says%2C ""Store F.""')","('terrorism_advisor_A_chosen', 'yes')","('terrorism_advisor_B_chosen', 'no')","('terrorism_advisor_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '5587')"
"38","A2YVC1U50H2B4R","English",29,"female","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stalls C%2C D%2C A%2C F and B.""%2CBrother 2 says%2C ""Stalls A and B.""%2CBrother 3 says%2C ""Stall B.""')","('brother_A_chosen', 'no')","('brother_B_chosen', 'no')","('brother_C_chosen', 'no')","('no_one_chosen', 'yes')","('_REACTION_TIME_', '5432')"
"40","A2YVC1U50H2B4R","English",29,"female","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Place E.""%2CInvestigator 2 says%2C ""Places B and E.""%2CInvestigator 3 says%2C ""Places F and A.""')","('fbi_investigator_A_chosen', 'no')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '5087')"
"41","A2YVC1U50H2B4R","English",29,"female","control","('what_A_chosen', 'yes')","('what_B_chosen', 'no')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '14512')",""
"42","A2YVC1U50H2B4R","English",29,"female","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafes F and D.""%2CClassmate 2 says%2C ""Cafe D.""%2CClassmate 3 says%2C ""Cafe E.""')","('coffee_classmate_A_chosen', 'no')","('coffee_classmate_B_chosen', 'no')","('coffee_classmate_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4055')"
"43","A2YVC1U50H2B4R","English",29,"female","high","('answers_reported', 'placeholderOperative 1 says%2C ""The South and North districts.""%2COperative 2 says%2C ""The Northeast and Southwest districts.""%2COperative 3 says%2C ""The North district.""')","('operative_A_chosen', 'no')","('operative_B_chosen', 'yes')","('operative_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '6676')"
"45","A2YVC1U50H2B4R","English",29,"female","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '9439')",""
"46","A2YVC1U50H2B4R","English",29,"female","exit_quest","('know_conditons', 'At the coffee shop')","('know_conditons', 'At the cafe')","('difficult', 'No.. it seemed fairly common sense')","('anything_else', '')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '19463')"
"47","A2QWERWB75X8YU","english",28,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '10650')","","","",""
"48","A2QWERWB75X8YU","english",28,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '26617')",""
"49","A2QWERWB75X8YU","english",28,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '17643')",""
"50","A2QWERWB75X8YU","english",28,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1725')","","","",""
"51","A2QWERWB75X8YU","english",28,"female","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Store F.""%2CAdvisor 2 says%2C ""Stores E and B.""%2CAdvisor 3 says%2C ""Stores A and F.""')","('terrorism_advisor_A_chosen', 'no')","('terrorism_advisor_B_chosen', 'yes')","('terrorism_advisor_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '24581')"
"52","A2QWERWB75X8YU","english",28,"female","low","('answers_reported', 'placeholderCousin 1 says%2C ""Locations A and D.""%2CCousin 2 says%2C ""Locations D and F.""%2CCousin 3 says%2C ""Location F.""')","('pic_cousin_A_chosen', 'yes')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '12479')"
"54","A2QWERWB75X8YU","english",28,"female","high","('answers_reported', 'placeholderOperative 1 says%2C ""The Northeast%2C Southwest%2C South%2C Southeast and North districts.""%2COperative 2 says%2C ""The Northeast district.""%2COperative 3 says%2C ""The South and North districts.""')","('operative_A_chosen', 'yes')","('operative_B_chosen', 'no')","('operative_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '18754')"
"55","A2QWERWB75X8YU","english",28,"female","control","('what_A_chosen', 'yes')","('what_B_chosen', 'yes')","('what_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '15977')",""
"56","A2QWERWB75X8YU","english",28,"female","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studio B.""%2CCoworker 2 says%2C ""Studio A.""%2CCoworker 3 says%2C ""Studio F.""')","('yoga_coworker_A_chosen', 'no')","('yoga_coworker_B_chosen', 'no')","('yoga_coworker_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '8425')"
"58","A2QWERWB75X8YU","english",28,"female","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurant E.""%2CInspector 2 says%2C ""Restaurant A.""%2CInspector 3 says%2C ""Restaurants A and B.""')","('inspector_A_chosen', 'no')","('inspector_B_chosen', 'yes')","('inspector_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '16908')"
"59","A2QWERWB75X8YU","english",28,"female","control","('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '19943')",""
"60","A2QWERWB75X8YU","english",28,"female","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stalls C%2C D%2C A%2C F and B.""%2CBrother 2 says%2C ""Stalls C and D.""%2CBrother 3 says%2C ""Stalls A and B.""')","('brother_A_chosen', 'no')","('brother_B_chosen', 'yes')","('brother_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '8655')"
"61","A2QWERWB75X8YU","english",28,"female","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The sixth floor.""%2CFirefighter 2 says%2C ""The fifth and second floors.""%2CFirefighter 3 says%2C ""The first floor.""')","('firefighter_A_chosen', 'no')","('firefighter_B_chosen', 'yes')","('firefighter_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '8221')"
"63","A2QWERWB75X8YU","english",28,"female","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diners A and E.""%2CFriend 2 says%2C ""Diner C.""%2CFriend 3 says%2C ""Diner E.""')","('la_friend_A_chosen', 'no')","('la_friend_B_chosen', 'yes')","('la_friend_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '6832')"
"64","A2QWERWB75X8YU","english",28,"female","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'no')","('how_guest_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '17175')",""
"65","A2QWERWB75X8YU","english",28,"female","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Places B and E.""%2CInvestigator 2 says%2C ""Place E.""%2CInvestigator 3 says%2C ""Place D.""')","('fbi_investigator_A_chosen', 'yes')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '16800')"
"66","A2QWERWB75X8YU","english",28,"female","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafe D.""%2CClassmate 2 says%2C ""Cafes E and B.""%2CClassmate 3 says%2C ""Cafe A.""')","('coffee_classmate_A_chosen', 'no')","('coffee_classmate_B_chosen', 'yes')","('coffee_classmate_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '5944')"
"68","A2QWERWB75X8YU","english",28,"female","control","('why_A_chosen', 'yes')","('why_B_chosen', 'no')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '12048')",""
"69","A2QWERWB75X8YU","english",28,"female","exit_quest","('know_conditons', 'At the coffee shop')","('know_conditons', 'Downtown')","('difficult', 'Sort of%2C I got confused')","('anything_else', 'No')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '21472')"
"70","ACVJ6IUO9QM4R","English",35,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1619')","","","",""
"71","ACVJ6IUO9QM4R","English",35,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'yes')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '13809')",""
"72","ACVJ6IUO9QM4R","English",35,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '4310')",""
"73","ACVJ6IUO9QM4R","English",35,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1110')","","","",""
"74","ACVJ6IUO9QM4R","English",35,"female","low","('answers_reported', 'placeholderClassmate 1 says%2C ""Cafe E.""%2CClassmate 2 says%2C ""Cafes E and B.""%2CClassmate 3 says%2C ""Cafe D.""')","('coffee_classmate_A_chosen', 'yes')","('coffee_classmate_B_chosen', 'no')","('coffee_classmate_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2635')"
"75","ACVJ6IUO9QM4R","English",35,"female","high","('answers_reported', 'placeholderOperative 1 says%2C ""The South and North districts.""%2COperative 2 says%2C ""The North district.""%2COperative 3 says%2C ""The Northeast%2C Southwest%2C South%2C Southeast and North districts.""')","('operative_A_chosen', 'no')","('operative_B_chosen', 'yes')","('operative_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1679')"
"76","ACVJ6IUO9QM4R","English",35,"female","low","('answers_reported', 'placeholderFriend 1 says%2C ""Diners A and E.""%2CFriend 2 says%2C ""Diner E.""%2CFriend 3 says%2C ""Diner C.""')","('la_friend_A_chosen', 'yes')","('la_friend_B_chosen', 'no')","('la_friend_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3091')"
"77","ACVJ6IUO9QM4R","English",35,"female","control","('what_A_chosen', 'no')","('what_B_chosen', 'no')","('what_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '2074')",""
"79","ACVJ6IUO9QM4R","English",35,"female","high","('answers_reported', 'placeholderFirefighter 1 says%2C ""The fifth floor.""%2CFirefighter 2 says%2C ""The fourth and sixth floors.""%2CFirefighter 3 says%2C ""The fifth%2C second%2C fourth%2C third and sixth floors.""')","('firefighter_A_chosen', 'no')","('firefighter_B_chosen', 'yes')","('firefighter_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '3914')"
"80","ACVJ6IUO9QM4R","English",35,"female","low","('answers_reported', 'placeholderCoworker 1 says%2C ""Studio A.""%2CCoworker 2 says%2C ""Studios F and E.""%2CCoworker 3 says%2C ""Studio B.""')","('yoga_coworker_A_chosen', 'no')","('yoga_coworker_B_chosen', 'yes')","('yoga_coworker_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1260')"
"81","ACVJ6IUO9QM4R","English",35,"female","control","('why_A_chosen', 'no')","('why_B_chosen', 'no')","('why_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '1190')",""
"83","ACVJ6IUO9QM4R","English",35,"female","high","('answers_reported', 'placeholderInspector 1 says%2C ""Restaurants A%2C B%2C C%2C D%2C and E.""%2CInspector 2 says%2C ""Restaurants A and B.""%2CInspector 3 says%2C ""Restaurants C and E.""')","('inspector_A_chosen', 'no')","('inspector_B_chosen', 'no')","('inspector_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1874')"
"84","ACVJ6IUO9QM4R","English",35,"female","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stalls C and D.""%2CBrother 2 says%2C ""Stall B.""%2CBrother 3 says%2C ""Stalls C%2C D%2C A%2C F and B.""')","('brother_A_chosen', 'no')","('brother_B_chosen', 'yes')","('brother_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1029')"
"85","ACVJ6IUO9QM4R","English",35,"female","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Store F.""%2CAdvisor 2 says%2C ""Store C.""%2CAdvisor 3 says%2C ""Stores A and F.""')","('terrorism_advisor_A_chosen', 'yes')","('terrorism_advisor_B_chosen', 'no')","('terrorism_advisor_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '1157')"
"86","ACVJ6IUO9QM4R","English",35,"female","control","('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '1572')",""
"88","ACVJ6IUO9QM4R","English",35,"female","low","('answers_reported', 'placeholderCousin 1 says%2C ""Location A.""%2CCousin 2 says%2C ""Locations D and F.""%2CCousin 3 says%2C ""Location F.""')","('pic_cousin_A_chosen', 'yes')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2148')"
"89","ACVJ6IUO9QM4R","English",35,"female","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Place E.""%2CInvestigator 2 says%2C ""Place F.""%2CInvestigator 3 says%2C ""Places F and A.""')","('fbi_investigator_A_chosen', 'no')","('fbi_investigator_B_chosen', 'yes')","('fbi_investigator_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2432')"
"90","ACVJ6IUO9QM4R","English",35,"female","control","('how_guest_A_chosen', 'no')","('how_guest_B_chosen', 'yes')","('how_guest_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '3664')",""
"92","ACVJ6IUO9QM4R","English",35,"female","exit_quest","('know_conditons', 'at the coffee shop. ')","('know_conditons', 'in the cubboard ')","('difficult', 'yes it ws difficult because some of the paragraphs were long and didnt make sense the way they were worded ')","('anything_else', 'n')","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '30197')"
"93","A1DIW2K1J89CMO","English",22,"female","instructions","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '9616')","","","",""
"94","A1DIW2K1J89CMO","English",22,"female","train","('train_f_A_chosen', 'no')","('train_f_B_chosen', 'no')","('train_f_C_chosen', 'no')","('none_chosen', 'yes')","('_REACTION_TIME_', '27634')",""
"95","A1DIW2K1J89CMO","English",22,"female","train","('train_m_A_chosen', 'no')","('train_m_B_chosen', 'yes')","('train_m_C_chosen', 'yes')","('none_chosen', 'no')","('_REACTION_TIME_', '28738')",""
"96","A1DIW2K1J89CMO","English",22,"female","train_end","('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '1446')","","","",""
"97","A1DIW2K1J89CMO","English",22,"female","high","('answers_reported', 'placeholderInvestigator 1 says%2C ""Place E.""%2CInvestigator 2 says%2C ""Places B and E.""%2CInvestigator 3 says%2C ""Places F and A.""')","('fbi_investigator_A_chosen', 'no')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '25597')"
"98","A1DIW2K1J89CMO","English",22,"female","low","('answers_reported', 'placeholderBrother 1 says%2C ""Stall E.""%2CBrother 2 says%2C ""Stalls A and B.""%2CBrother 3 says%2C ""Stall C.""')","('brother_A_chosen', 'no')","('brother_B_chosen', 'no')","('brother_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '50773')"
"99","A1DIW2K1J89CMO","English",22,"female","high","('answers_reported', 'placeholderAdvisor 1 says%2C ""Stores E and B.""%2CAdvisor 2 says%2C ""Store F.""%2CAdvisor 3 says%2C ""Stores A and F.""')","('terrorism_advisor_A_chosen', 'yes')","('terrorism_advisor_B_chosen', 'no')","('terrorism_advisor_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '44535')"
"101","A1DIW2K1J89CMO","English",22,"female","control","('why_A_chosen', 'yes')","('why_B_chosen', 'yes')","('why_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '25710')",""
"102","A1DIW2K1J89CMO","English",22,"female","low","('answers_reported', 'placeholderCousin 1 says%2C ""Locations A and D.""%2CCousin 2 says%2C ""Location B.""%2CCousin 3 says%2C ""Location A.""')","('pic_cousin_A_chosen', 'yes')","('pic_cousin_B_chosen', 'no')","('pic_cousin_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '19286')"
