subject,native_lang,age,gender,trial,story,reaction_time,response_a,response_b,response_c,response_d,report_a,report_b,report_c,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A1JQ3GAFW1XZYZ,english,21,male,consent,NA,82756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1JQ3GAFW1XZYZ,english,21,male,train,train_m,5812,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1JQ3GAFW1XZYZ,english,21,male,train,train_f,2900,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1JQ3GAFW1XZYZ,english,21,male,test,test_books,4852,1,0,0,0,Bookstore A.,Bookstores D and E.,Bookstore E.,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,1,0,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,test,test_dentist,2733,1,0,0,0,Dentist E.,Dentist A.,Dentist F.,mo-l,mo-h,fa,0,1,1,0,0,0,1,0,0,1,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,control,control_when,2668,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,1,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,test,test_coffee,2685,1,0,0,0,Cafe A.,Cafes D and E.,Cafe E.,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,1,0,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,control,control_why,1949,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,1,0,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,test,test_hair,2957,0,1,0,0,Stylist A.,Stylist E.,Stylists D and E.,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,test,test_yarn,6229,0,1,0,0,Stalls A and B.,"Stalls A, B, C, D and E.",Stalls D and E.,ms-h,exh,ms-l,1,0,0,1,1,0,1,1,0,0,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,control,control_how,8269,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,0,0,0,0,0,0
A1JQ3GAFW1XZYZ,english,21,male,test,test_shoes,5316,1,0,0,0,Stores D and E.,Stores A and B.,Store A.,ms-l,ms-h,mo-h,0,1,0,1,1,0,1,0,0,0,0,1,0,0
A1JQ3GAFW1XZYZ,english,21,male,control,control_what,2110,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,0,0,1,0,0
A1JQ3GAFW1XZYZ,english,21,male,exit_quest,NA,20125,good,good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A251YA0XPAWWIQ,english,32,female,consent,NA,27655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A251YA0XPAWWIQ,english,32,female,train,train_f,23445,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A251YA0XPAWWIQ,english,32,female,train,train_m,17950,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A251YA0XPAWWIQ,english,32,female,test,test_dentist,32496,0,0,1,0,Dentists D and E.,Dentists A and B.,Dentist E.,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A251YA0XPAWWIQ,english,32,female,test,test_books,8003,0,0,1,0,Bookstores A and B.,"Bookstores A, B, C, D and E.",Bookstore A.,ms-h,exh,mo-h,1,1,0,1,0,0,1,0,1,0,0,0,0,0
