A1JQ3GAFW1XZYZ,english,21,male,instructions,"('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '3158')",,,,
A1JQ3GAFW1XZYZ,english,21,male,train,"('train_m_A_chosen', 'no')","('train_m_B_chosen', 'yes')","('train_m_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '5812')",
A1JQ3GAFW1XZYZ,english,21,male,train,"('train_f_A_chosen', 'no')","('train_f_B_chosen', 'yes')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2900')",
A1JQ3GAFW1XZYZ,english,21,male,train_end,"('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '2780')",,,,
A1JQ3GAFW1XZYZ,english,21,male,test,"('answers_reported', 'placeholderFriend 1 says%2C ""Bookstore A.""%2CFriend 2 says%2C ""Bookstores D and E.""%2CFriend 3 says%2C ""Bookstore E.""')","('books_A_chosen', 'yes')","('books_B_chosen', 'no')","('books_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4852')"
A1JQ3GAFW1XZYZ,english,21,male,nst,"('NST_2a_chosen', 'yes')","('NST_2b_chosen', 'no')","('NST_2c_chosen', 'no')","('NST_2d_chosen', 'no')","('NST_2e_chosen', 'no')","('_REACTION_TIME_', '2788')"
A1JQ3GAFW1XZYZ,english,21,male,test,"('answers_reported', 'placeholderCoworker 1 says%2C ""Dentist E.""%2CCoworker 2 says%2C ""Dentist A.""%2CCoworker 3 says%2C ""Dentist F.""')","('dentist_A_chosen', 'yes')","('dentist_B_chosen', 'no')","('dentist_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '2733')"
A1JQ3GAFW1XZYZ,english,21,male,control,"('when_A_chosen', 'yes')","('when_B_chosen', 'no')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2668')",
A1JQ3GAFW1XZYZ,english,21,male,ginz,"('ginzwhere_largegrain_y_chosen', 'yes')","('ginzwhere_largegrain_n_chosen', 'no')","('_REACTION_TIME_', '3181')",,,
A1JQ3GAFW1XZYZ,english,21,male,nst,"('NST_4a_chosen', 'yes')","('NST_4b_chosen', 'no')","('_REACTION_TIME_', '1869')",,,
