A3KTUKOVGWE9CF,english,27,female,instructions,"('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '28732')",,,,
A3KTUKOVGWE9CF,english,27,female,train,"('train_m_A_chosen', 'yes')","('train_m_B_chosen', 'no')","('train_m_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '13974')",
A3KTUKOVGWE9CF,english,27,female,train,"('train_f_A_chosen', 'no')","('train_f_B_chosen', 'yes')","('train_f_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '42782')",
A3KTUKOVGWE9CF,english,27,female,train_end,"('dummy_checkbox_', 'yes')","('_REACTION_TIME_', '5066')",,,,
A3KTUKOVGWE9CF,english,27,female,low,"('answers_reported', 'placeholderFriend 1 says%2C ""Diner B.""%2CFriend 2 says%2C ""Diner C.""%2CFriend 3 says%2C ""Diners C and F.""')","('la_friend_A_chosen', 'yes')","('la_friend_B_chosen', 'no')","('la_friend_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '40349')"
A3KTUKOVGWE9CF,english,27,female,high,"('answers_reported', 'placeholderOperative 1 says%2C ""The West district.""%2COperative 2 says%2C ""The Northeast district.""%2COperative 3 says%2C ""The North district.""')","('operative_A_chosen', 'yes')","('operative_B_chosen', 'no')","('operative_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4413')"
A3KTUKOVGWE9CF,english,27,female,nst,"('NST_1a_chosen', 'no')","('NST_1b_chosen', 'yes')","('NST_1c_chosen', 'no')","('NST_1d_chosen', 'no')","('_REACTION_TIME_', '23489')",
A3KTUKOVGWE9CF,english,27,female,low,"('answers_reported', 'placeholderCousin 1 says%2C ""Locations D and F.""%2CCousin 2 says%2C ""Location B.""%2CCousin 3 says%2C ""Location F.""')","('pic_cousin_A_chosen', 'no')","('pic_cousin_B_chosen', 'yes')","('pic_cousin_C_chosen', 'no')","('no_one_chosen', 'no')","('_REACTION_TIME_', '9205')"
A3KTUKOVGWE9CF,english,27,female,control,"('when_A_chosen', 'no')","('when_B_chosen', 'yes')","('when_C_chosen', 'no')","('none_chosen', 'no')","('_REACTION_TIME_', '2799')",
A3KTUKOVGWE9CF,english,27,female,high,"('answers_reported', 'placeholderInvestigator 1 says%2C ""Places F%2C A%2C B%2C C and E.""%2CInvestigator 2 says%2C ""Place F.""%2CInvestigator 3 says%2C ""Places B and E.""')","('fbi_investigator_A_chosen', 'no')","('fbi_investigator_B_chosen', 'no')","('fbi_investigator_C_chosen', 'yes')","('no_one_chosen', 'no')","('_REACTION_TIME_', '4286')"
